,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
112,CHM 101 INTRODUCTORY CHEMISTRY,"Explores the experimental and theoretical concepts of general chemistry while emphasizing scientific reasoning, critical and analytical thinking. Designed for the non-science major. This is a Passport and UCGS transfer course.",,,
113,CHM 102 INTRODUCTORY CHEMISTRY II,Description not found,,,
114,CHM 110 SURVEY OF CHEMISTRY,"Introduces the basic concepts of general, organic, and biochemistry with emphasis on their applications to other disciplines. No previous chemistry background required.",,,
115,CHM 111 GENERAL CHEMISTRY I,"Explores the fundamental laws, theories, and mathematical concepts of chemistry. Designed primarily for science and engineering majors. Requires a strong background in mathematics. Students must earn a grade of C or higher in the lecture portion of the course to earn an overall grade of C or higher. Part I of II. This is a Passport and UCGS transfer course.",CHEM 103,General Chemistry I,"NQR For science majors and pre-health science students. A study of the nature of atoms and molecules, the periodic table, chemical bonding and reactions, thermochemistry, states of matter, solutions, and equilibrium."
116,CHM 112 GENERAL CHEMISTRY II,"Explores the fundamental laws, theories, and mathematical concepts of chemistry. Designed primarily for science and engineering majors. Requires a strong background in mathematics. Students must earn a grade of C or higher in the lecture portion of the course to earn an overall grade of C or higher. Part II of II. This is a Passport and UCGS transfer course.",CHEM 208,General Chemistry II and Introduction to Inorganic Chemistry,"Prerequisite(s): CHEM 103 A continuation of the study of the principles of chemistry begun in Chemistry 103. Topics include aqueous equilibria, thermodynamics, electrochemistry, advanced bonding theories, nuclear chemistry, chemical kinetics, and coordination chemistry. Note: Students may not obtain credit for both CHEM 205 and CHEM 208."
117,CHM 121 HEALTH SCIENCE CHEMISTRY I,"Introduces the health science student to concepts of inorganic, organic, and biological chemistry as applicable to the allied health profession.  Part I of II.",,,
118,CHM 122 HEALTH SCIENCE CHEMISTRY II,Description not found,,,
119,CHM 125 CHEMISTRY FOR NURSES,"Introduces the basic concepts of general, organic, and biological chemistry necessary for practicing nurses.",,,
120,CHM 129 CHEMISTRY FOR SUSTAINABLE WORLD I,Description not found,,,
121,CHM 130 CHEMISTRY FOR SUSTAINABLE WORLD II,Description not found,,,
122,CHM 241 ORGANIC CHEMISTRY I,"Introduces fundamental chemistry of carbon compounds, including structures, physical properties, syntheses, and typical reactions.  Emphasizes reaction mechanisms.  Part I of II",CHEM 206,Organic Chemistry I,Prerequisite(s): CHEM 103 or CHEM 205 . A mechanistic approach to the study of the chemistry of carbon compounds. Emphasis is placed on the relationship between structure and reactivity in organic reactions.
123,CHM 242 ORGANIC CHEMISTRY II,"Introduces fundamental chemistry of carbon compounds, including structures, physical properties, syntheses, and typical reactions. Emphasizes reaction mechanisms.  Part II of II.",CHEM 207,Organic Chemistry II for Life Sciences,Prerequisite(s): CHEM 206 . A continuation of the development of the chemistry of organic functional groups started in Chemistry 206 . Emphasis is placed on the role of metals in living systems and the biosynthesis of organic molecules. Recommended for students expecting to major in life sciences. Note: Students may not receive credit for more than one of the following: CHEM 207 and CHEM 209 .
124,CHM 243 ORGANIC CHEMISTRY LABORATORY I,Description not found,CHEM 206,Organic Chemistry I,Prerequisite(s): CHEM 103 or CHEM 205 . A mechanistic approach to the study of the chemistry of carbon compounds. Emphasis is placed on the relationship between structure and reactivity in organic reactions.
125,CHM 244 ORGANIC CHEMISTRY LABORATORY II,Description not found,CHEM 253,Organic Chemistry Laboratory II,Prerequisite(s): CHEM 206L . Prereq/Corequisite(s): CHEM 209 or CHEM 207 . Laboratory techniques in organic chemistry. Four laboratory hours. There is a fee associated with this laboratory.
126,CHM 245 ORGANIC CHEMISTRY I LABORATORY,"Introduces various methods and procedures used in present day organic laboratories.  Covers the general techniques, organic synthesis, and the use of common spectroscopic instrumentation; synthesizing a variety of compounds; and analyzing the products through physical properties and spectroscopy.  Part I of II.",CHEM 206,Organic Chemistry I,Prerequisite(s): CHEM 103 or CHEM 205 . A mechanistic approach to the study of the chemistry of carbon compounds. Emphasis is placed on the relationship between structure and reactivity in organic reactions.
127,CHM 246 ORGANIC CHEMISTRY II LABORATRY,"Introduces various methods and procedures used in present day organic laboratories.  Covers the general techniques, organic synthesis, and the use of common spectroscopic instrumentation; synthesizing a variety of compounds; and analyzing the products through physical properties and spectroscopy.  Part II of II.",CHEM 253,Organic Chemistry Laboratory II,Prerequisite(s): CHEM 206L . Prereq/Corequisite(s): CHEM 209 or CHEM 207 . Laboratory techniques in organic chemistry. Four laboratory hours. There is a fee associated with this laboratory.
128,CHM 261 BIOCHEMISTRY LAB,"Provides hands on lab experiences designed to reinforce the fundamentals of biological chemistry taught inCHM 260such as biochemistry assays, enzyme kinetics, enzyme purification, chromatography, electrophoresis and use of western blots.",CHEM 420,Biochemistry Laboratory,Prerequisite(s): CHEM 309 and CHEM 415 or CHEM 419 . Laboratory techniques of modern biochemistry and molecular biology.
129,CHD 117 INTRODUCTION TO READING METHODS,"Introduces current practices of teaching reading in the elementary school. Familiarizes students with materials currently in use, emphasizes observation of various reading techniques and trends in the classroom. NOTE: This course will be replaced withCHD 119by Fall 2010.",,,
